5, match, cm, false, 22565, 133
5, match, gt, false, 9034, 134
5, match, mx, false, 20119, 135
5, match, cm, true, 9165, 136
5, match, gt, true, 9118, 137
5, match, mx, false, 12186, 138
5, match, cm, false, 13330, 139
5, match, gt, true, 4748, 140
5, match, mx, false, 9727, 141
5, match, cm, false, 11610, 142
5, match, gt, true, 10363, 143
5, match, mx, false, 13217, 144
5, match, cm, false, 13175, 145
5, match, gt, true, 7836, 146
5, match, mx, false, 6601, 147
5, match, cm, true, 13655, 148
5, match, gt, false, 8250, 149
5, match, mx, false, 18823, 150
5, match, cm, false, 21422, 151
5, match, gt, true, 12752, 152
5, match, mx, true, 8320, 153
5, match, cm, true, 16184, 154
5, match, gt, true, 11978, 155
5, match, mx, false, 19799, 156
5, match, cm, true, 11575, 157
5, match, gt, true, 4342, 158
5, match, mx, true, 16850, 159
5, match, cm, true, 13894, 160
5, dense, cn, true, 4712, 81
5, dense, cm, true, 2673, 82
5, dense, nl, true, 1448, 83
5, dense, gt, true, 1306, 84
5, dense, mx, true, 1819, 85
5, dense, cn, false, 3156, 86
5, dense, cm, true, 1855, 87
5, dense, nl, true, 1294, 88
5, dense, gt, false, 939, 89
5, dense, mx, true, 1623, 90
5, dense, cn, true, 2458, 91
5, dense, cm, true, 1727, 92
5, dense, nl, true, 1077, 93
5, dense, gt, true, 1181, 94
5, dense, mx, true, 1350, 95
5, dense, cn, true, 2162, 96
5, dense, cm, true, 2612, 97
5, dense, nl, true, 1052, 98
5, dense, gt, true, 1429, 99
5, dense, mx, true, 1118, 100
5, dense, cn, true, 683, 101
5, dense, cm, true, 788, 102
5, dense, nl, false, 747, 103
5, dense, gt, false, 543, 104
5, dense, mx, true, 510, 105
5, dense, cn, true, 601, 106
5, dense, cm, true, 568, 107
5, dense, nl, true, 454, 108
5, dense, gt, true, 458, 109
5, dense, mx, true, 980, 110
5, dense, cn, true, 741, 111
5, dense, cm, true, 631, 112
5, dense, nl, true, 634, 113
5, dense, gt, false, 744, 114
5, dense, mx, true, 718, 115
5, dense, cn, true, 771, 116
5, dense, cm, true, 575, 117
5, dense, nl, true, 765, 118
5, dense, gt, false, 803, 119
5, dense, mx, true, 751, 120
5, dense, cn, true, 721, 121
5, dense, cm, true, 591, 122
5, dense, nl, true, 773, 123
5, dense, gt, false, 513, 124
5, dense, mx, true, 7726, 125
5, dense, cn, true, 1587, 126
5, dense, cm, true, 1305, 127
5, dense, nl, true, 645, 128
5, dense, gt, true, 749, 129
5, dense, mx, true, 850, 130
6, 1-connected, nl, true, 2051, 1
6, 1-connected, gt, true, 2574, 2
6, 1-connected, mx, false, 10017, 3
6, 1-connected, cn, true, 3427, 4
6, 1-connected, cm, true, 10035, 5
6, 1-connected, nl, true, 2266, 6
6, 1-connected, gt, false, 2886, 7
6, 1-connected, mx, true, 10017, 8
6, 1-connected, cn, true, 10010, 9
6, 1-connected, cm, true, 10006, 10
6, 1-connected, nl, false, 10020, 11
6, 1-connected, gt, true, 10020, 12
6, 1-connected, mx, false, 10013, 13
6, 1-connected, cn, true, 7421, 14
6, 1-connected, cm, true, 7477, 15
6, 1-connected, nl, true, 1529, 16
6, 1-connected, gt, true, 2604, 17
6, 1-connected, mx, true, 7250, 18
6, 1-connected, cn, true, 2643, 19
6, 1-connected, cm, true, 9835, 20
6, 1-connected, nl, true, 1770, 21
6, 1-connected, gt, true, 3382, 22
6, 1-connected, mx, true, 4678, 23
6, 1-connected, cn, true, 1142, 24
6, 1-connected, cm, false, 5947, 25
6, 1-connected, nl, true, 2417, 26
6, 1-connected, gt, true, 3314, 27
6, 1-connected, mx, false, 7227, 28
6, 1-connected, cn, true, 1437, 29
6, 1-connected, cm, true, 7128, 30
6, 1-connected, nl, true, 2197, 31
6, 1-connected, gt, true, 895, 32
6, 1-connected, mx, true, 5864, 33
6, 1-connected, cn, true, 1819, 34
6, 1-connected, cm, false, 4038, 35
6, 1-connected, nl, true, 1216, 36
6, 1-connected, gt, true, 1204, 37
6, 1-connected, mx, true, 5988, 38
6, 1-connected, cn, false, 1468, 39
6, 1-connected, cm, false, 6225, 40
6, 2-connected, nl, true, 4685, 41
6, 2-connected, gt, true, 3061, 42
6, 2-connected, mx, false, 6757, 43
6, 2-connected, cn, true, 3838, 44
6, 2-connected, cm, false, 5377, 45
6, 2-connected, nl, true, 2299, 46
